City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
128,La Romana,18.4273,-68.9728,74.37,87,83,6.06,DO,2022-10-15 05:57:31
129,Teguldet,57.3064,88.1667,42.17,54,35,9.75,RU,2022-10-15 05:57:31
130,Cairns,-16.9167,145.7667,92.07,56,27,14.97,AU,2022-10-15 05:55:11
131,Ilorin,8.5,4.55,70.16,94,20,0.0,NG,2022-10-15 05:57:31
132,Yulara,-25.2406,130.9889,86.27,23,1,3.85,AU,2022-10-15 05:57:32
133,Garowe,8.4054,48.4845,82.4,53,2,11.12,SO,2022-10-15 05:57:32
134,Tete,-16.1564,33.5867,80.69,44,0,0.0,MZ,2022-10-15 05:57:33
135,Dikson,73.5069,80.5464,33.28,96,100,17.45,RU,2022-10-15 05:57:33
136,Sibolga,1.7427,98.7792,80.56,84,99,6.73,ID,2022-10-15 05:57:33
137,Arys,42.4252,68.795,72.46,19,85,5.19,KZ,2022-10-15 05:57:34
138,Llanes,43.4198,-4.7549,66.88,65,2,2.68,ES,2022-10-15 05:58:34
139,Itacoatiara,-3.1431,-58.4442,73.45,94,62,2.82,BR,2022-10-15 05:57:47
140,Axim,4.8699,-2.2405,75.65,87,98,7.09,GH,2022-10-15 05:58:34
141,Berlevag,70.8578,29.0864,35.55,87,63,5.75,NO,2022-10-15 05:58:35
142,Ampanihy,-24.7,44.75,82.8,47,1,6.26,MG,2022-10-15 05:58:35
143,Lagunas,-5.2269,-75.6753,72.52,99,54,4.0,PE,2022-10-15 05:58:36
144,Kendari,-3.945,122.4989,86.27,67,100,4.07,ID,2022-10-15 05:53:56
145,Khani,41.9563,42.9566,47.77,66,100,2.39,GE,2022-10-15 05:58:36
146,Haines Junction,60.7522,-137.5108,30.15,86,100,2.3,CA,2022-10-15 05:58:37
147,Grants Pass,42.439,-123.3284,61.81,60,20,4.61,US,2022-10-15 05:55:12
148,Lagoa,39.05,-27.9833,65.93,67,100,8.9,PT,2022-10-15 05:58:37
149,Hithadhoo,-0.6,73.0833,82.56,69,39,14.85,MV,2022-10-15 05:58:37
150,Marrakesh,31.6315,-8.0083,66.27,77,0,3.44,MA,2022-10-15 05:58:38
151,Barrow,71.2906,-156.7887,21.22,93,100,10.36,US,2022-10-15 05:58:38
152,Guerrero Negro,27.9769,-114.0611,66.78,75,13,9.6,MX,2022-10-15 05:58:38
153,Cockburn Town,21.4612,-71.1419,82.13,75,95,14.74,TC,2022-10-15 05:58:39
154,Longyearbyen,78.2186,15.6401,19.24,73,20,3.44,SJ,2022-10-15 05:58:39
155,Chokurdakh,70.6333,147.9167,12.45,96,96,7.58,RU,2022-10-15 05:58:39
156,Sola,-13.8833,167.55,80.17,75,97,14.92,VU,2022-10-15 05:58:40
157,Rameswaram,9.2833,79.3,82.65,73,100,6.29,IN,2022-10-15 05:58:40
158,Faya,18.3851,42.4509,64.92,18,9,6.29,SA,2022-10-15 05:58:40
159,Sao Filipe,14.8961,-24.4956,76.41,82,41,9.37,CV,2022-10-15 05:58:41
160,Marawi,7.9986,124.2928,80.33,75,46,3.87,PH,2022-10-15 05:58:41
161,Gorlice,49.6556,21.1604,54.55,87,93,6.85,PL,2022-10-15 05:58:42
162,Quelimane,-17.8786,36.8883,75.15,73,0,10.36,MZ,2022-10-15 05:58:42
163,Cherskiy,68.75,161.3,8.78,95,100,6.46,RU,2022-10-15 05:58:42
164,Novoagansk,61.9449,76.6625,39.34,68,97,12.86,RU,2022-10-15 05:58:43
165,Camacha,33.0833,-16.3333,65.62,77,20,4.61,PT,2022-10-15 05:58:43
166,Segezha,63.7415,34.3222,45.99,92,100,7.52,RU,2022-10-15 05:58:43
167,Villa Guerrero,18.8667,-99.65,60.66,92,96,3.02,MX,2022-10-15 05:58:43
168,Sulangan,11.1373,123.7228,84.88,72,57,7.56,PH,2022-10-15 05:58:44
169,Cascais,38.6979,-9.4215,63.16,91,1,10.0,PT,2022-10-15 05:58:44
170,Banjar,-8.19,114.9675,81.61,83,79,1.39,ID,2022-10-15 05:57:22
171,Brigantine,39.4101,-74.3646,57.0,86,0,1.01,US,2022-10-15 05:58:44
172,Saint-Georges,12.0564,-61.7485,78.48,89,20,5.75,GD,2022-10-15 05:54:16
173,Mabaruma,8.2,-59.7833,73.0,99,94,2.37,GY,2022-10-15 05:58:45
174,San Juan,-31.5375,-68.5364,59.92,22,0,6.49,AR,2022-10-15 05:58:45
175,Tongliao,43.6125,122.2653,60.28,29,34,8.63,CN,2022-10-15 05:58:46
176,Nome,64.5011,-165.4064,27.16,75,68,8.52,US,2022-10-15 05:58:46
177,Poum,-20.2333,164.0167,74.41,66,8,12.75,NC,2022-10-15 05:58:46
178,Port Elizabeth,-33.918,25.5701,62.89,86,100,12.66,ZA,2022-10-15 05:58:47
179,Marzuq,14.4,46.4667,78.51,29,5,2.37,YE,2022-10-15 05:58:47
180,Goundam,16.4145,-3.6708,84.81,43,42,9.24,ML,2022-10-15 05:58:47
181,Arman,59.7,150.1667,32.02,58,49,5.46,RU,2022-10-15 05:58:48
182,Saldanha,-33.0117,17.9442,59.05,78,75,14.58,ZA,2022-10-15 05:58:48
183,Calvia,39.5657,2.5062,63.41,76,3,4.7,ES,2022-10-15 05:58:02
184,Salinopolis,-0.6136,-47.3561,79.41,80,77,10.78,BR,2022-10-15 05:58:49
185,Inyonga,-6.7167,32.0667,74.53,31,95,9.86,TZ,2022-10-15 05:58:49
186,Koson,39.0375,65.585,70.12,12,12,3.85,UZ,2022-10-15 05:59:49
187,Portland,45.5234,-122.6762,69.08,58,7,4.0,US,2022-10-15 05:55:06
188,Berdigestyakh,62.0989,126.6992,29.77,92,97,6.8,RU,2022-10-15 05:59:50
189,Husavik,66.0449,-17.3389,35.26,98,100,19.91,IS,2022-10-15 05:59:50
190,Mar Del Plata,-38.0023,-57.5575,46.09,93,0,1.01,AR,2022-10-15 05:59:51
191,Bam,29.106,58.357,84.88,8,0,4.72,IR,2022-10-15 05:59:51
192,Talnakh,69.4865,88.3972,33.21,100,100,8.28,RU,2022-10-15 05:59:51
193,Torbay,47.6666,-52.7314,47.5,95,40,9.22,CA,2022-10-15 05:59:52
194,Dobele,56.625,23.2786,49.23,83,95,7.61,LV,2022-10-15 05:59:52
195,Norman Wells,65.282,-126.8329,5.04,92,20,2.3,CA,2022-10-15 05:59:53
196,Rio Gallegos,-51.6226,-69.2181,53.65,50,0,18.41,AR,2022-10-15 05:59:53
197,Dhidhdhoo,6.8833,73.1,81.7,78,98,9.51,MV,2022-10-15 05:59:54
198,Divnogorsk,55.9594,92.3619,32.49,55,16,4.63,RU,2022-10-15 05:59:54
199,Hasaki,35.7333,140.8333,75.29,69,94,14.41,JP,2022-10-15 05:59:54
200,Ajdabiya,30.7554,20.2263,73.02,67,11,15.97,LY,2022-10-15 05:59:55
201,Kodiak,57.79,-152.4072,45.91,93,100,28.77,US,2022-10-15 05:57:48
202,Nyzhnya Duvanka,49.5846,38.1743,42.62,63,6,7.0,UA,2022-10-15 05:59:55
203,Usinsk,65.9939,57.5281,36.61,77,100,3.06,RU,2022-10-15 05:59:56
