City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel name,Hotel Name
94,Camacha,PT,69.22,few clouds,33.0833,-16.3333,,Hotel Porto Santo & Spa
95,Gorontalo,ID,78.4,broken clouds,0.5412,123.0595,,Maqna Hotel by Prasanthi
98,Bambous Virieux,MU,70.05,few clouds,-20.3428,57.7575,,Casa Tia Villa
101,Yenagoa,NG,75.78,overcast clouds,4.9247,6.2642,,Aridolf Resort Wellness and Spa
106,Bethel,US,61.65,overcast clouds,41.3712,-73.414,,Courtyard by Marriott Danbury
107,Balabac,PH,80.89,overcast clouds,7.9868,117.0645,,Batalla’s Lodging House
108,Alofi,NU,77.85,scattered clouds,-19.0595,-169.9187,,Taloa Heights
109,Bambanglipuro,ID,77.02,overcast clouds,-7.95,110.2833,,Puri Brata
111,Watsa,CD,63.97,overcast clouds,3.0372,29.5355,,Hôtel Le Pacifique
112,Weligama,LK,76.32,overcast clouds,5.9667,80.4167,,Weligama Bay Resort
113,Bodden Town,KY,84.99,scattered clouds,19.2833,-81.25,,Will T Place
114,Ponta Do Sol,PT,74.01,light rain,32.6667,-17.1,,Hotel do Campo
116,Manicore,BR,82.35,clear sky,-5.8092,-61.3003,,Hotel Durval
117,Serenje,ZM,62.71,clear sky,-13.2325,30.2352,,The Kabaso's
118,Bosaso,SO,78.33,clear sky,11.2842,49.1816,,Red Sea Hotel
119,Sylvan Lake,CA,71.35,scattered clouds,52.3168,-114.0853,,Best Western Plus Chateau Inn Sylvan Lake
120,Mirebalais,HT,79.16,moderate rain,18.8333,-72.1053,,Le Jardin
121,Avarua,CK,80.65,broken clouds,-21.2078,-159.775,,Paradise Inn
122,Santa Helena De Goias,BR,85.55,scattered clouds,-17.8136,-50.5969,,Castro Castle Hotel
123,Bengkulu,ID,74.88,light rain,-3.8004,102.2655,,Grage Hotel Bengkulu
126,Talara,PE,65.16,broken clouds,-4.5772,-81.2719,,Hostal Oro Negro
130,Saldanha,ZA,61.14,overcast clouds,-33.0117,17.9442,,Blue Bay Lodge
