City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
354,Asau,RO,46.4333,26.4,36.52,91,16,5.88,few clouds,2022-10-24 03:56:35
355,Rakiv Lis,UA,51.6217,24.9243,47.41,95,57,4.83,broken clouds,2022-10-24 03:56:35
356,Maarianhamina,AX,60.0973,19.9348,26.46,100,0,1.14,clear sky,2022-10-24 03:56:36
357,Barrhead,GB,55.7992,-4.3929,53.65,93,20,2.3,fog,2022-10-24 03:56:36
358,Phan Thiet,VN,10.9333,108.1,85.8,68,97,5.3,overcast clouds,2022-10-24 03:54:39
359,Tulsipur,NP,28.131,82.2973,78.57,38,0,2.35,clear sky,2022-10-24 03:57:36
360,Clyde River,CA,70.4692,-68.5914,25.03,93,100,8.05,light snow,2022-10-24 03:57:37
361,Chopovychi,UA,50.8332,28.9533,50.18,95,99,6.87,overcast clouds,2022-10-24 03:57:37
362,Jand,PK,33.4299,72.0193,75.52,28,9,2.19,clear sky,2022-10-24 03:57:38
363,Coahuayana,MX,18.7333,-103.6833,76.12,93,74,2.84,broken clouds,2022-10-24 03:57:38
364,Constitucion,CL,-35.3333,-72.4167,46.38,76,0,6.22,clear sky,2022-10-24 03:57:38
365,Mach,PK,29.8637,67.3298,73.22,11,0,3.89,clear sky,2022-10-24 03:57:39
366,Mikumi,TZ,-7.4041,36.9831,70.39,86,99,3.22,light rain,2022-10-24 03:57:39
367,Taltal,CL,-25.4,-70.4833,59.18,78,3,3.36,clear sky,2022-10-24 03:57:40
368,Sioux Lookout,CA,50.1001,-91.917,53.67,82,20,6.91,few clouds,2022-10-24 03:57:40
369,Kyrylivka,UA,46.3759,35.3675,51.94,83,74,17.69,broken clouds,2022-10-24 03:57:41
370,Port-Gentil,GA,-0.7193,8.7815,75.4,94,100,5.7,moderate rain,2022-10-24 03:57:41
371,Kilmallock,IE,52.4,-8.5772,52.16,95,97,1.99,overcast clouds,2022-10-24 03:57:42
372,Tezu,IN,27.9167,96.1667,74.52,69,100,1.25,overcast clouds,2022-10-24 03:57:42
373,Urucui,BR,-7.2294,-44.5561,75.87,70,3,1.52,clear sky,2022-10-24 03:57:43
374,Charters Towers,AU,-20.1,146.2667,97.66,20,0,7.36,clear sky,2022-10-24 03:57:43
375,Muyezerskiy,RU,63.9333,31.65,34.0,79,95,11.3,overcast clouds,2022-10-24 03:57:43
376,Ibanda,TZ,-2.7974,32.4746,67.33,60,12,1.83,few clouds,2022-10-24 03:57:44
377,Senanga,ZM,-16.1167,23.2667,68.0,57,62,4.23,broken clouds,2022-10-24 03:57:44
378,Yakeshi,CN,49.2833,120.7333,44.67,34,48,6.73,scattered clouds,2022-10-24 03:57:45
379,Lethem,GY,3.3803,-59.7968,78.4,80,93,5.12,overcast clouds,2022-10-24 03:57:45
380,Tucurui,BR,-3.7661,-49.6725,77.97,83,56,3.36,broken clouds,2022-10-24 03:57:46
381,Progreso,MX,21.2833,-89.6667,76.1,78,6,12.39,clear sky,2022-10-24 03:57:46
382,Ambilobe,MG,-13.2,49.05,77.02,60,28,4.45,scattered clouds,2022-10-24 03:57:46
383,Shar,KZ,49.5886,81.0453,35.31,54,7,1.36,clear sky,2022-10-24 03:57:47
384,Alta Floresta,BR,-9.8756,-56.0861,71.87,95,77,1.66,broken clouds,2022-10-24 03:57:47
385,Rondonopolis,BR,-16.4708,-54.6356,74.12,90,100,3.42,overcast clouds,2022-10-24 03:54:23
386,Brae,GB,60.3964,-1.353,52.88,94,100,14.61,overcast clouds,2022-10-24 03:57:48
387,Bathsheba,BB,13.2167,-59.5167,83.01,83,75,13.8,broken clouds,2022-10-24 03:57:48
388,Port Hedland,AU,-20.3167,118.5667,86.05,48,32,19.57,scattered clouds,2022-10-24 03:57:49
389,Darhan,MN,49.4867,105.9228,50.95,32,45,10.22,scattered clouds,2022-10-24 03:57:49
390,Poronaysk,RU,49.2167,143.1167,40.55,47,16,1.03,few clouds,2022-10-24 03:57:49
391,San Jeronimo,PE,-11.9472,-75.2829,53.73,71,99,3.65,overcast clouds,2022-10-24 03:57:50
392,Botou,CN,38.0667,116.5667,69.12,21,0,5.73,clear sky,2022-10-24 03:57:50
